county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
quay,NM,0.184,0.351,1.103,16301,412.72
rio-arriba,NM,0.257,0.192,1.644,172469,990.778
roosevelt,NM,0.72,0.5,2.418,109693,1533.926
san-juan,NM,0.756,0.676,1.642,282768,798.878
san-miguel,NM,0.36,0.229,1.574,341852,1010.206
sandoval,NM,0.522,0.526,1.819,10360813,44.72
santa-fe,NM,0.654,0.59,1.401,495994,748.74
sierra,NM,0.322,0.489,1.625,145486,2050.747
socorro,NM,0.191,0.118,2.244,913074,817.121
taos,NM,0.221,0.187,2.095,877386,177.787
torrance,NM,0.269,0.0,1.74,208502,872.985
union,NM,0.098,0.0,1.083,12399,912.266
valencia,NM,0.247,0.199,2.167,8847816,45.496
carson-city,NV,0.781,0.941,1.321,113009,1261.128
churchill,NV,0.754,0.592,1.673,230000,130135.687
clark,NV,0.595,0.961,1.259,72154454,288.519
douglas,NV,0.699,0.615,1.389,232969,2615.991
elko,NV,0.509,0.202,1.745,970842,8280.551
esmeralda,NV,0.208,0.0,1.739,25823,125894.314
eureka,NV,0.282,0.0,2.23,238737,88911.876
humboldt,NV,0.554,0.348,2.174,726509,67569.732
lander,NV,0.547,0.0,2.21,334015,84533.26
lincoln,NV,0.623,0.0,1.629,66473,171385.84
lyon,NV,0.718,0.448,1.379,203952,30165.083
mineral,NV,,0.0,1.745,52356,85903.599
nye,NV,0.381,0.571,1.515,532160,33511.545
pershing,NV,0.286,0.0,2.022,477161,84211.061
storey,NV,0.461,0.07,1.644,86566,40922.41
washoe,NV,0.795,0.919,1.437,2721333,11321.28
white-pine,NV,0.56,0.414,2.028,122467,111985.205
baker,OR,0.6,0.393,1.877,382503,9193.6
benton,OR,0.833,0.72,1.469,445662,1562.086
clackamas,OR,0.837,0.781,1.29,2062189,1471.85
clatsop,OR,0.57,0.528,1.834,491260,1775.785
columbia,OR,0.842,0.522,1.615,989134,3113.832
coos,OR,0.0,0.54,1.354,276742,3406.219
crook,OR,0.698,0.351,1.489,196041,30060.011
curry,OR,0.612,0.398,1.779,607549,2914.668
deschutes,OR,0.714,0.576,1.383,940793,13997.958
douglas,OR,0.782,0.509,1.946,2166542,5084.594
gilliam,OR,0.596,0.0,3.474,292620,3511.33
grant,OR,0.48,0.0,1.897,207556,35126.715
harney,OR,0.521,0.388,2.715,456492,39378.748
hood-river,OR,0.772,0.518,1.543,255780,2862.869
jackson,OR,0.825,0.737,1.488,1471218,11604.945
jefferson,OR,0.897,0.254,1.561,502316,7164.494
josephine,OR,0.793,0.477,1.483,1766376,2871.876
klamath,OR,0.528,0.348,1.78,1471823,13564.771
lake,OR,0.279,0.0,1.992,812160,17756.929
lane,OR,0.803,0.746,1.504,4060266,4253.469
lincoln,OR,0.497,0.689,1.657,1236291,2739.534
linn,OR,0.837,0.596,1.457,891792,9051.547
malheur,OR,0.751,0.378,2.451,1171730,28509.593
marion,OR,0.849,0.802,1.368,1102666,1000.614
morrow,OR,0.635,0.0,1.953,120608,2319.529
multnomah,OR,0.83,0.982,1.369,2704368,825.131
polk,OR,0.863,0.75,1.428,519199,1676.209
sherman,OR,0.387,0.0,2.948,172927,3064.197
tillamook,OR,0.372,0.372,1.527,907302,2528.977
