county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
chippewa,MI,0.536,0.194,1.666,2354975,1279.589
clare,MI,0.471,0.088,1.465,536395,884.694
clinton,MI,0.853,0.408,1.317,543427,236.849
crawford,MI,0.458,0.0,1.49,1727591,1229.637
delta,MI,0.648,0.134,1.861,725429,1331.133
dickinson,MI,0.521,0.503,1.665,1942702,1261.108
eaton,MI,0.0,0.525,1.115,56979,22.054
emmet,MI,0.574,0.342,1.565,1131063,933.384
genesee,MI,,0.792,1.426,9123075,64.936
gladwin,MI,0.505,0.0,1.435,841379,1141.741
gogebic,MI,0.548,0.235,2.002,1396651,1159.449
grand-traverse,MI,0.735,0.51,1.355,799050,851.6
gratiot,MI,0.772,0.256,1.605,595980,634.028
hillsdale,MI,0.682,0.145,1.736,347993,472.248
houghton,MI,0.485,0.347,1.699,919968,1096.967
huron,MI,0.571,0.0,1.687,428638,871.594
ingham,MI,0.864,0.803,1.279,1011597,175.231
ionia,MI,0.85,0.258,1.467,430862,481.802
iosco,MI,0.48,0.42,1.505,539224,772.259
iron,MI,0.494,0.0,1.977,1592875,1201.599
isabella,MI,0.765,0.255,1.524,312667,317.47
jackson,MI,0.83,0.438,1.419,1695952,654.264
kalamazoo,MI,0.872,0.721,1.548,1583581,122.879
kalkaska,MI,0.51,0.0,1.511,1573157,1143.54
kent,MI,0.87,0.793,1.207,2181713,167.983
keweenaw,MI,0.364,0.0,1.76,228804,1094.427
lake,MI,0.249,0.0,1.485,1245446,1174.834
lapeer,MI,0.839,0.086,1.321,362342,471.672
leelanau,MI,0.547,0.091,1.54,249947,804.577
lenawee,MI,0.761,0.332,1.401,384033,368.724
livingston,MI,0.859,0.6,1.208,792986,453.384
luce,MI,0.406,0.0,2.053,3346809,1314.611
mackinac,MI,0.337,0.107,1.745,1352334,1364.76
macomb,MI,0.903,0.959,1.204,1486570,78.34
manistee,MI,0.541,0.206,1.558,1006449,986.401
marquette,MI,0.733,0.375,1.712,3023569,1199.985
mason,MI,0.647,0.303,1.474,496397,918.103
mecosta,MI,0.533,0.108,1.489,721711,619.123
menominee,MI,0.64,0.247,1.866,961835,1202.129
midland,MI,0.861,0.508,1.361,1204424,900.611
missaukee,MI,0.532,0.0,1.675,400560,817.846
monroe,MI,0.897,0.562,1.309,147111,28.61
montcalm,MI,0.703,0.122,1.502,854377,542.094
montmorency,MI,0.007,0.0,1.651,1753289,1295.777
muskegon,MI,0.849,0.684,1.337,1349063,411.575
newaygo,MI,0.609,0.063,1.46,1456511,1013.451
oakland,MI,0.0,0.935,1.073,489212,53.495
oceana,MI,0.482,0.0,1.539,495601,759.332
ogemaw,MI,0.43,0.0,1.474,276179,450.678
ontonagon,MI,0.411,0.0,2.038,884045,1240.159
osceola,MI,0.0,0.0,1.289,38998,37.131
oscoda,MI,0.37,0.0,1.523,317177,1281.513
otsego,MI,0.47,0.211,1.618,894791,877.189
ottawa,MI,0.904,0.757,1.237,1251109,136.53
presque-isle,MI,0.439,0.0,1.769,1178238,1231.694
roscommon,MI,0.422,0.604,1.431,1780714,1211.143
saginaw,MI,0.859,0.611,1.486,2411051,191.365
sanilac,MI,0.649,0.132,1.516,312084,776.012
schoolcraft,MI,0.483,0.0,1.922,2686748,1289.09
shiawassee,MI,0.852,0.349,1.395,383523,54.409
st-clair,MI,0.838,0.54,1.314,1839142,893.271
